City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,chui,-33.6971,-53.4616,71.67,80,0,8.39,UY,1706826871
153,camarinas,43.1311,-9.1817,52.93,91,40,17.38,ES,1706826871
154,belomorsk,64.5232,34.7668,26.42,82,99,11.21,RU,1706826871
155,loanda,-8.8368,13.2343,77.0,94,20,3.44,AO,1706826872
156,broken hill,-31.95,141.4333,70.86,41,0,18.92,AU,1706826872
157,lebu,-37.6167,-73.65,63.34,89,3,10.78,CL,1706826767
158,namasuba,0.6894,32.4214,66.47,81,100,1.79,UG,1706826872
159,tres de maio,-27.7733,-54.24,73.81,86,0,6.06,BR,1706826873
160,ad darbasiyah,37.0728,40.652,38.03,58,3,6.38,SY,1706826873
161,santander,43.4647,-3.8044,54.46,90,100,3.44,ES,1706826873
162,ballina,-28.8667,153.5667,79.79,63,8,4.85,AU,1706826873
163,sharjah,25.3573,55.4033,75.18,73,0,5.75,AE,1706826873
164,kalundri,18.9833,73.1333,75.2,73,0,4.09,IN,1706826874
165,aswan,24.0934,32.907,51.1,43,0,4.61,EG,1706826874
166,santyoku,37.4406,129.1708,34.23,89,100,6.26,KR,1706826874
167,guerrero negro,27.9769,-114.0611,69.22,54,0,18.07,MX,1706826874
168,nova vicosa,-17.8919,-39.3719,76.05,85,27,8.19,BR,1706826874
169,rawah,34.4816,41.9093,45.73,61,73,11.36,IQ,1706826875
170,port blair,11.6667,92.75,77.04,94,20,2.3,IN,1706826875
171,bayanhongor,46.7167,100.1167,-13.85,82,20,3.78,MN,1706826875
172,sur,22.5667,59.5289,75.72,65,40,17.45,OM,1706826875
173,mhamid,29.82,-5.72,54.27,24,57,7.74,MA,1706826875
174,codrington,-38.2667,141.9667,63.46,56,1,11.36,AU,1706826876
175,jumri tilaiya,24.4333,85.5167,56.08,66,5,4.14,IN,1706826876
176,sinop,41.7711,34.8709,33.73,74,17,3.09,TR,1706826876
177,antonio enes,-16.2325,39.9086,78.08,80,100,4.21,MZ,1706826876
178,kuala belait,4.5833,114.1833,77.16,90,92,7.31,BN,1706826876
179,kalmunai,7.4167,81.8167,77.05,87,46,3.42,LK,1706826877
180,ponta delgada,37.7333,-25.6667,65.19,88,40,8.05,PT,1706826877
181,northam,51.0333,-4.2167,48.65,92,100,10.16,GB,1706826877
182,sual,16.0668,120.0941,72.82,84,33,7.05,PH,1706826877
183,borogontsy,62.6683,131.1683,-38.45,100,84,1.77,RU,1706826877
184,okha,53.5739,142.9478,-5.4,93,100,17.67,RU,1706826878
185,novodvinsk,64.4165,40.8122,33.55,92,100,10.49,RU,1706826878
186,howrah,22.5892,88.3103,68.0,88,100,4.61,IN,1706826878
187,les anglais,18.3054,-74.2197,74.8,81,80,7.07,HT,1706826878
188,thabazimbi,-24.5917,27.4116,67.59,48,51,6.02,ZA,1706826878
189,port mathurin,-19.6833,63.4167,81.43,83,15,28.16,MU,1706826879
190,thinadhoo,0.5333,72.9333,82.13,76,63,11.1,MV,1706826879
191,qaqortoq,60.7167,-46.0333,5.11,70,69,19.69,GL,1706826879
192,lompoc,34.6391,-120.4579,63.01,68,0,12.66,US,1706826879
193,mugia,43.1041,-9.2179,52.92,90,39,17.81,ES,1706826879
194,novaya igirma,57.1334,103.9112,-29.9,100,67,1.5,RU,1706826879
195,qamdo,31.1667,97.2333,8.96,62,51,7.14,CN,1706826880
196,tanjungbalai,2.9667,99.8,74.71,94,97,2.62,ID,1706826880
197,korla,41.7597,86.1469,23.13,70,100,2.64,CN,1706826880
198,st. paul,44.9444,-93.0933,49.12,65,0,10.36,US,1706826880
199,slave lake,55.2834,-114.769,44.58,57,0,5.75,CA,1706826880
200,weno,7.4515,151.8468,81.52,80,39,23.64,FM,1706826881
201,nobeoka,32.5833,131.6667,48.69,87,100,6.53,JP,1706826881
202,hammerfest,70.6634,23.6821,28.85,86,75,20.71,NO,1706826881
203,deniliquin,-35.5333,144.9667,69.96,40,0,14.52,AU,1706826881
204,kotka,60.4664,26.9458,31.32,69,84,22.12,FI,1706826881
205,leh,34.1667,77.5833,9.82,90,99,5.5,IN,1706826881
206,maicao,11.3832,-72.2432,81.95,69,98,3.78,CO,1706826882
207,khilok,51.3674,110.4676,-17.54,98,46,1.92,RU,1706826882
208,grand falls-windsor,48.9332,-55.6649,23.5,91,100,3.0,CA,1706826882
209,mili,6.0815,171.735,81.07,83,100,19.15,MH,1706826882
210,levuka,50.1834,-105.4011,56.93,47,0,13.8,CA,1706826882
211,luderitz,-26.6481,15.1594,70.07,80,45,12.55,NA,1706826883
212,hailar,49.2,119.7,-38.13,100,36,3.4,CN,1706826883
213,blackwater,-23.5833,148.8833,82.87,58,29,5.08,AU,1706826883
214,st. john's,47.5649,-52.7093,27.79,75,75,5.75,CA,1706826883
215,el abiodh sidi cheikh,32.893,0.5484,48.13,42,0,3.15,DZ,1706826883
216,zuwarah,32.9312,12.082,55.65,60,5,5.14,LY,1706826884
217,pangody,65.85,74.4859,9.86,93,100,19.1,RU,1706826884
218,manta,-0.95,-80.7333,83.98,74,40,13.0,EC,1706826884
219,san antonio de pale,-1.4014,5.6325,81.82,75,77,2.39,GQ,1706826884
220,anadyr,64.75,177.4833,1.9,71,75,24.61,RU,1706826884
221,el calafate,-50.3408,-72.2768,56.23,63,35,12.88,AR,1706826885
222,kenora,49.8167,-94.4337,32.97,69,40,5.75,CA,1706826885
223,fedorovskiy,45.0972,40.9517,32.94,91,98,7.63,RU,1706826885
224,dhandhuka,22.3667,71.9833,67.53,71,51,1.01,IN,1706826885
225,nizhneudinsk,54.9076,99.0276,2.62,97,99,2.01,RU,1706826734
226,papillion,41.1544,-96.0422,54.61,73,0,10.0,US,1706826886
227,stanley,54.868,-1.6985,46.76,86,40,24.16,GB,1706826886
228,severo-yeniseyskiy,60.3725,93.0408,-16.42,99,38,4.0,RU,1706826886
229,cumana,10.4635,-64.1775,81.05,79,98,9.64,VE,1706826591
230,yuzhno-kurilsk,44.0306,145.8556,17.38,64,100,20.31,RU,1706826886
231,veraval,20.9,70.3667,69.55,85,0,8.37,IN,1706826886
